Steps,Delta,SPM,Activity,Secs
34,34,68,1,30
36,2,60,3,32
36,0,0,1,34
74,38,87,1,60
112,38,76,1,90
120,8,480,3,91
120,0,0,1,91
162,42,86,1,120
182,20,40,1,150
230,48,96,1,180
238,8,160,2,183
238,0,0,1,183
266,28,62,1,210
266,0,0,1,30
266,0,0,1,60
266,0,0,1,90
266,0,0,1,120
266,0,0,1,150
266,0,0,1,180
266,0,0,1,30
266,0,0,1,60
266,0,0,1,90
266,0,0,1,30
266,0,0,1,60
266,0,0,1,90
282,16,31,1,120
282,0,0,1,30
308,26,51,1,60
324,16,28,1,90
324,0,0,1,120
324,0,0,1,150
358,34,68,1,30
398,40,79,1,60
400,2,400,3,60
400,0,0,1,60
404,4,133,2,61
404,0,0,1,62
416,12,23,1,90
422,6,399,3,91
422,0,0,1,91
424,2,3,1,120
424,0,0,1,150
424,0,0,1,180
424,0,0,1,30
446,22,43,1,60
446,0,0,1,30
454,8,15,1,30
466,12,23,1,60
472,6,12,1,90
488,16,32,1,120
508,20,39,1,150
520,12,23,1,180
546,26,51,1,210
556,10,19,1,240
562,6,11,1,270
564,2,149,2,271
564,0,0,1,271
582,18,35,1,300
584,2,3,1,331
598,14,27,1,361
630,32,63,1,391
640,10,19,1,421
652,12,19,1,451
670,18,35,1,481
670,0,0,1,511
670,0,0,1,541
682,12,23,1,571
692,10,19,1,601
700,8,15,1,631
708,8,15,1,661
710,2,3,1,691
722,12,23,1,721
722,0,0,1,751
734,12,23,1,781
736,2,3,1,811
736,0,0,1,841
742,6,12,1,872
744,2,379,3,872
744,0,0,1,872
752,8,15,1,902
754,2,299,3,902
754,0,0,1,902
762,8,15,1,932
772,10,19,1,962
780,8,15,1,992
780,0,0,1,1022
804,24,47,1,1052
810,6,120,2,1055
810,0,0,1,1055
820,10,19,1,1082
826,6,11,1,1112
838,12,23,1,1142
842,4,7,1,1172
842,0,0,1,1202
860,18,35,1,1232
862,2,200,3,1233
862,0,0,1,1233
872,10,19,1,1262
882,10,19,1,1292
892,10,19,1,1323
896,4,7,1,1353
902,6,11,1,1383
910,8,15,1,30
916,6,11,1,60
918,2,299,3,60
918,0,0,1,60
924,6,11,1,90
924,0,0,1,120
924,0,0,1,150
932,8,15,1,180
938,6,128,2,183
938,0,0,1,183
938,0,0,1,210
954,16,31,1,240
966,12,23,1,270
968,2,3,1,300
986,18,35,1,330
996,10,19,1,360
998,2,3,1,390
1002,4,7,1,420
1002,0,0,1,450
1002,0,0,1,480
1010,8,15,1,510
1012,2,3,1,540
1012,0,0,1,570
1016,4,133,2,572
1016,0,0,1,572
1016,0,0,1,601
1052,36,71,1,631
1054,2,3,1,661
1056,2,171,3,661
1056,0,0,1,661
1062,6,11,1,691
1064,2,3,1,721
1068,4,7,1,751
1070,2,298,3,751
1070,0,0,1,751
1080,10,19,1,781
1082,2,3,1,811
1082,0,0,1,841
1086,4,7,1,871
1088,2,3,1,901
1088,0,0,1,931
1088,0,0,1,961
1088,0,0,1,991
1090,2,3,1,1021
1094,4,7,1,1051
1096,2,3,1,1082
1104,8,15,1,1112
1110,6,11,1,1142
1110,0,0,1,1172
1134,24,47,1,1202
1140,6,11,1,1232
1152,12,23,1,1262
1152,0,0,1,1292
1152,0,0,1,1322
1152,0,0,1,1352
1152,0,0,1,1382
1158,6,11,1,1412
1164,6,11,1,1442
1180,16,31,1,1472
1184,4,7,1,1502
1190,6,11,1,1532
1196,6,11,1,1562
1196,0,0,1,1592
1202,6,299,3,1594
1202,0,0,1,1594
1206,4,7,1,1622
1208,2,3,1,1652
1208,0,0,1,1682
1224,16,31,1,1712
1228,4,7,1,1742
1232,4,7,1,1772
1232,0,0,1,1802
1234,2,3,1,1833
1240,6,11,1,1863
1240,0,0,1,1893
1240,0,0,1,1923
1252,12,23,1,1953
1252,0,0,1,1983
1264,12,23,1,2013
1282,18,35,1,2043
1282,0,0,1,2073
1284,2,4,1,2103
1290,6,11,1,2133
1302,12,23,1,2163
1302,0,0,1,2193
1310,8,15,1,2223
1314,4,7,1,2253
1316,2,3,1,2283
1332,16,31,1,2313
1348,16,31,1,2343
1354,6,11,1,2373
1354,0,0,1,2404
1360,6,11,1,2434
1360,0,0,1,2464
1366,6,11,1,2494
1372,6,11,1,2524
1388,16,27,1,2554
1388,0,0,1,2584
1396,8,15,1,2614
1396,0,0,1,2644
1396,0,0,1,2674
1396,0,0,1,2704
1396,0,0,1,2734
1396,0,0,1,2764
1396,0,0,1,2794
1396,0,0,1,2824
1396,0,0,1,2854
1418,22,43,1,2884
1420,2,300,3,2885
1420,0,0,1,2885
1434,14,27,1,2914
1484,50,99,1,2944
1486,2,133,2,2945
1486,0,0,1,2945
1556,30,59,1,3005
1558,2,199,3,3005
1558,0,0,1,3005
1598,40,79,1,3035
1600,2,240,3,3035
1600,0,0,1,3035
1648,48,95,1,3065
1648,0,0,1,3095
1654,6,133,2,3098
1654,0,0,1,3098
1678,24,47,1,3125
1686,8,15,1,3155
1688,2,398,3,3155
1688,0,0,1,3155
1732,44,87,1,3185
1768,36,71,1,3215
1780,12,23,1,3245
1824,44,87,1,3275
1826,2,300,3,3276
1826,0,0,1,3276
