X,Y,Z
-0.38,0.87,-0.27
-0.33,0.88,-0.25
-0.38,0.88,-0.26
-0.46,0.85,-0.25
-0.48,0.90,-0.12
-0.60,1.08,0.10
-0.15,1.42,0.02
-0.33,0.73,0.01
-0.38,0.72,0.28
-0.36,0.74,0.45
-0.53,0.78,0.26
-0.21,0.84,0.19
0.52,0.42,-0.27
-1.33,0.95,0.47
-0.72,0.80,-0.22
-0.37,0.84,-0.18
-0.35,0.83,-0.23
-0.52,0.84,-0.28
-0.91,1.20,-0.15
-0.27,1.07,-0.60
-0.34,0.98,-0.26
-0.30,0.73,-0.07
-0.22,0.55,0.05
-0.56,0.78,0.33
-0.55,0.90,0.35
-1.13,2.55,-0.09
-0.23,0.56,-0.92
-0.21,0.68,-0.52
-0.40,0.86,-0.14
-0.34,0.85,-0.22
-0.66,0.87,-0.44
-0.63,1.05,-0.04
-0.55,0.98,-0.58
0.05,1.24,-0.13
-0.30,0.67,-0.18
-0.21,0.59,-0.00
-0.60,0.75,0.30
-0.62,0.80,0.32
-0.34,1.61,0.31
0.28,0.22,-0.55
-0.52,0.83,0.37
-0.57,0.85,-0.02
-0.28,0.81,-0.29
-0.43,0.92,-0.12
-0.43,0.96,-0.19
-0.99,1.06,0.04
-0.03,1.67,-0.34
-0.36,0.84,-0.31
0.05,0.60,-0.18
-0.57,0.78,0.27
-0.52,1.08,0.31
-0.58,0.76,0.14
-0.66,1.36,-0.36
-0.53,0.74,-0.41
-0.16,0.86,-0.15
-0.66,0.87,-0.24
-0.31,0.94,-0.21
-0.46,0.90,-0.21
-0.57,0.78,-0.28
-0.09,0.77,-0.26
-0.44,0.94,-0.17
-0.35,0.81,-0.29
-0.33,0.92,-0.27
-0.39,0.85,-0.26
-0.35,0.90,-0.25
-0.38,0.87,-0.25
-0.35,0.90,-0.27
-0.38,0.89,-0.29
-0.35,0.88,-0.28
-0.38,0.89,-0.28
-0.38,0.88,-0.27
-0.37,0.86,-0.29
-0.37,0.88,-0.28
-0.39,0.87,-0.28
-0.37,0.89,-0.27
-0.37,0.89,-0.28
-0.37,0.89,-0.27
-0.37,0.89,-0.27
-0.36,0.89,-0.26
-0.38,0.89,-0.27
-0.37,0.88,-0.27
-0.37,0.88,-0.27
-0.37,0.89,-0.27
-0.37,0.88,-0.27
-0.37,0.88,-0.27
-0.37,0.88,-0.28
-0.37,0.89,-0.26
-0.38,0.88,-0.26
-0.37,0.89,-0.26
-0.37,0.88,-0.27
-0.37,0.88,-0.27
-0.38,0.89,-0.27
-0.36,0.89,-0.27
-0.36,0.88,-0.28
-0.37,0.89,-0.25
-0.37,0.88,-0.27
