X,Y,Z
-0.34,0.87,-0.31
-0.31,0.90,-0.30
-0.30,0.87,-0.28
-0.51,0.85,-0.20
-0.52,1.05,0.03
-0.40,1.33,-0.13
-0.60,0.68,-0.08
-0.30,1.01,0.46
-0.52,0.84,0.27
-0.39,0.75,0.17
0.00,1.85,0.01
0.12,0.26,-0.50
-0.39,1.02,0.42
-0.52,0.91,-0.09
-0.44,0.81,-0.29
-0.43,0.88,-0.26
-0.55,0.90,-0.29
-0.87,1.16,-0.17
-0.11,0.81,-0.59
-0.21,0.96,-0.37
-0.21,0.67,-0.17
-0.40,0.79,0.15
-0.50,0.97,0.21
-0.50,0.67,-0.12
0.18,0.33,-0.56
-0.64,1.08,0.04
-0.21,0.80,-0.23
-0.42,0.82,-0.27
-0.41,0.83,-0.25
-0.47,0.97,-0.21
-0.79,1.19,-0.02
-0.36,1.18,-0.84
-0.30,0.76,-0.24
-0.18,0.76,-0.08
-0.48,0.69,0.16
-0.41,1.01,0.26
-0.39,0.68,0.01
0.12,0.46,-0.48
-1.01,1.21,-0.31
-0.47,0.84,-0.19
-0.57,0.80,-0.27
-0.33,0.94,-0.28
-0.48,0.88,-0.35
-0.90,1.12,-0.35
-0.15,0.78,-0.50
-0.17,1.00,-0.21
-0.27,0.71,-0.17
-0.42,0.79,0.17
-0.37,1.02,0.20
-0.47,0.65,0.17
0.06,1.74,0.21
0.21,0.31,-0.38
-0.99,1.33,-0.23
-0.33,0.76,-0.16
-0.43,0.86,-0.27
-0.39,0.89,-0.18
-0.71,0.85,-0.48
-0.16,0.87,-0.26
-0.41,0.84,-0.22
-0.33,0.94,-0.19
-0.37,0.87,-0.28
-0.35,0.90,-0.24
-0.36,0.89,-0.28
-0.34,0.88,-0.30
-0.35,0.89,-0.28
-0.37,0.90,-0.24
-0.36,0.88,-0.26
-0.34,0.89,-0.26
-0.37,0.89,-0.25
-0.35,0.89,-0.24
-0.34,0.89,-0.26
-0.35,0.90,-0.25
-0.37,0.89,-0.25
-0.34,0.90,-0.24
-0.34,0.90,-0.26
-0.36,0.90,-0.25
-0.36,0.90,-0.25
-0.35,0.90,-0.26
-0.36,0.90,-0.25
-0.36,0.89,-0.25
-0.36,0.90,-0.25
-0.36,0.90,-0.25
-0.37,0.89,-0.25
-0.35,0.89,-0.26
-0.36,0.90,-0.25
-0.37,0.89,-0.25
-0.36,0.89,-0.25
-0.37,0.89,-0.25
-0.36,0.89,-0.26
-0.36,0.90,-0.25
-0.36,0.90,-0.25
-0.35,0.90,-0.26
-0.36,0.90,-0.26
-0.36,0.90,-0.25
-0.35,0.90,-0.25
-0.36,0.90,-0.25
