X,Y,Z
-0.22,1.08,-0.06
-0.09,1.12,-0.00
0.17,0.87,-0.01
-0.07,1.05,0.10
0.05,0.88,0.18
-0.01,0.88,0.28
0.04,0.85,0.30
-0.03,0.97,0.42
0.04,0.99,0.43
0.02,1.30,0.25
-0.34,0.96,-0.08
-0.03,1.07,-0.06
-0.25,0.95,-0.07
-0.04,0.96,-0.10
-0.17,0.98,-0.10
-0.21,1.03,-0.03
-0.27,1.33,-0.09
0.22,1.01,0.03
-0.13,1.09,0.12
-0.02,0.81,0.22
-0.05,0.84,0.33
-0.02,0.80,0.34
-0.08,0.95,0.43
0.04,1.22,0.34
0.06,0.62,-0.34
0.06,1.03,-0.02
-0.20,0.92,-0.12
-0.11,0.94,-0.09
-0.15,1.00,-0.09
-0.13,1.01,-0.11
-0.21,1.01,-0.07
-0.17,1.20,-0.12
0.09,1.06,0.05
-0.00,1.05,0.15
-0.03,0.86,0.26
-0.02,0.85,0.31
-0.03,0.77,0.36
-0.20,1.04,0.48
0.13,1.35,0.19
-0.10,0.54,-0.26
0.09,0.99,-0.05
-0.23,0.90,-0.07
-0.11,0.98,-0.04
-0.15,1.01,-0.07
-0.13,1.04,-0.07
-0.37,1.26,-0.04
0.27,0.89,-0.03
0.04,1.06,0.13
0.05,0.88,0.19
0.02,0.80,0.27
-0.03,0.84,0.34
-0.04,0.96,0.40
0.08,0.86,0.40
0.06,1.03,-0.11
-0.25,1.08,-0.12
-0.11,0.91,-0.16
-0.15,0.97,-0.10
-0.21,0.97,-0.12
-0.09,0.96,-0.08
-0.15,0.98,-0.02
-0.34,1.30,-0.09
0.14,0.68,-0.06
-0.03,1.12,0.09
-0.01,0.83,0.15
-0.01,0.83,0.26
-0.04,0.79,0.33
-0.11,0.86,0.36
0.03,1.15,-0.01
-0.25,0.82,-0.00
-0.14,0.97,-0.05
-0.05,0.99,-0.07
-0.12,1.01,-0.01
-0.14,0.96,-0.10
0.00,1.15,-0.06
0.08,0.75,-0.09
-0.06,1.07,0.11
-0.03,1.02,0.01
0.02,0.99,0.03
0.00,0.98,0.03
-0.01,0.98,0.01
0.01,0.98,-0.01
0.03,1.00,-0.01
0.02,0.98,-0.01
-0.01,0.98,-0.01
-0.02,0.99,-0.04
0.00,0.98,-0.02
0.00,0.99,-0.01
0.07,0.98,-0.06
-0.01,1.02,-0.01
-0.02,0.99,-0.04
-0.03,0.99,0.00
0.01,1.00,-0.03
0.01,0.98,0.01
0.00,0.98,-0.02
-0.01,0.96,0.01
-0.00,1.01,-0.00
