X,Y,Z
-0.10,0.97,-0.07
-0.12,1.00,-0.04
-0.14,1.01,-0.05
-0.15,1.04,-0.03
0.01,1.00,-0.05
-0.24,0.94,0.04
-0.15,0.95,0.01
-0.19,0.97,0.01
-0.33,0.96,0.08
-0.20,1.20,-0.09
0.05,0.97,0.02
-0.03,1.15,0.14
-0.03,0.91,0.20
0.00,0.84,0.24
-0.03,0.75,0.36
-0.00,1.06,0.43
0.05,1.30,0.29
0.04,0.52,-0.21
0.05,0.97,-0.12
-0.20,0.94,-0.12
-0.24,0.95,-0.01
-0.21,0.94,-0.04
-0.23,0.97,-0.06
-0.17,1.41,-0.10
0.12,0.71,0.02
-0.06,0.92,0.08
-0.02,0.93,0.17
-0.03,0.81,0.24
0.05,0.80,0.34
-0.08,0.98,0.47
0.04,1.44,0.15
-0.28,0.66,-0.16
-0.09,0.97,-0.01
-0.31,0.94,-0.10
-0.19,0.95,-0.00
-0.19,0.91,-0.04
-0.24,1.01,-0.00
-0.37,1.26,-0.06
0.18,0.96,0.02
-0.08,1.05,0.11
-0.04,0.79,0.22
-0.02,0.87,0.32
-0.02,0.74,0.28
-0.16,1.00,0.51
0.07,1.21,0.34
-0.01,0.45,-0.29
0.17,0.86,-0.15
-0.27,0.97,-0.09
-0.14,0.94,-0.11
-0.16,0.93,-0.07
-0.21,1.01,-0.05
-0.35,1.18,-0.00
0.25,0.91,0.01
-0.14,1.02,0.18
0.14,0.84,0.21
-0.01,0.80,0.30
-0.07,0.95,0.42
-0.03,0.91,0.45
0.07,1.30,-0.01
-0.43,1.07,0.01
-0.12,0.98,-0.03
-0.25,0.97,-0.01
-0.22,0.94,-0.07
-0.21,0.95,-0.05
-0.26,0.98,0.02
-0.30,1.25,-0.04
0.19,0.95,-0.01
-0.05,0.99,0.13
0.09,0.90,0.20
0.04,0.88,0.30
-0.01,0.87,0.30
-0.01,0.91,0.42
0.09,1.33,0.25
0.07,0.81,-0.04
-0.13,1.11,-0.06
-0.08,0.96,-0.04
-0.20,0.99,-0.00
-0.19,0.97,-0.03
-0.11,1.03,0.01
-0.07,0.95,-0.03
-0.04,1.03,-0.05
-0.02,0.98,-0.12
-0.02,0.96,-0.10
-0.02,1.03,-0.08
-0.03,0.97,-0.10
-0.02,0.98,-0.11
-0.02,0.99,-0.10
-0.03,0.98,-0.11
-0.01,0.98,-0.10
-0.03,0.99,-0.11
-0.04,0.99,-0.10
-0.03,0.98,-0.11
-0.04,0.99,-0.10
-0.04,1.00,-0.10
-0.04,0.99,-0.10
-0.04,0.98,-0.09
