X,Y,Z,A,T,S
-0.04,0.99,-0.06,0.00,0.00,0
-0.03,1.00,-0.02,0.00,0.00,0
-0.04,0.98,-0.00,0.00,0.00,0
-0.00,0.97,-0.03,0.00,0.00,0
-0.02,1.01,-0.03,0.01,0.01,0
-0.08,1.05,0.02,0.03,0.02,0
-0.07,0.98,0.12,0.01,0.03,1
-0.09,0.94,0.29,0.01,0.02,1
-0.06,0.85,0.34,0.00,0.02,1
-0.00,0.79,0.34,0.00,0.02,1
-0.01,0.89,0.39,0.00,0.02,1
-0.07,0.81,0.39,0.00,0.02,1
-0.02,0.91,0.55,0.00,0.02,1
-0.06,0.92,-0.03,0.00,0.02,1
-0.32,0.96,-0.19,0.00,0.01,1
-0.13,0.99,-0.05,0.00,0.01,1
-0.11,0.97,-0.06,0.00,0.01,1
-0.21,1.00,-0.02,0.00,0.01,1
-0.21,0.98,-0.10,0.00,0.01,1
-0.23,1.16,-0.13,0.08,0.02,1
-0.15,1.05,-0.08,0.06,0.03,1
0.00,1.06,0.04,0.06,0.04,1
-0.10,0.85,0.14,0.03,0.04,2
0.04,0.74,0.19,0.02,0.05,2
-0.12,0.84,0.37,0.01,0.04,2
-0.13,1.08,0.60,0.04,0.05,2
-0.02,0.86,-0.32,0.02,0.05,2
-0.25,1.10,-0.26,0.06,0.06,2
-0.22,0.89,-0.13,0.03,0.06,3
-0.13,0.97,-0.05,0.02,0.06,3
-0.13,0.95,-0.10,0.01,0.06,3
-0.10,0.97,-0.14,0.00,0.05,3
-0.27,1.31,-0.16,0.15,0.07,3
0.09,0.73,0.01,0.08,0.07,3
-0.11,1.28,0.16,0.18,0.09,3
-0.06,0.76,0.21,0.09,0.10,4
-0.03,0.73,0.22,0.04,0.10,4
-0.11,0.92,0.42,0.02,0.10,4
-0.05,0.95,0.56,0.01,0.09,4
0.01,0.73,-0.23,0.01,0.09,4
-0.34,0.95,-0.19,0.00,0.09,4
-0.12,0.97,-0.09,0.00,0.09,4
-0.11,0.99,-0.13,0.00,0.09,4
-0.15,0.96,-0.03,0.00,0.08,4
-0.23,0.92,-0.13,0.00,0.08,4
-0.25,1.00,-0.08,0.00,0.08,4
-0.28,1.19,-0.04,0.10,0.09,4
-0.06,0.93,-0.07,0.05,0.09,5
-0.06,1.31,0.20,0.18,0.10,5
-0.07,0.70,0.13,0.09,0.10,6
-0.05,0.71,0.29,0.04,0.10,6
-0.17,0.95,0.46,0.02,0.10,6
0.09,1.18,0.52,0.10,0.11,6
-0.08,0.73,-0.40,0.05,0.11,6
-0.32,0.96,-0.20,0.03,0.11,6
-0.17,0.93,-0.07,0.01,0.11,6
-0.12,0.98,-0.08,0.01,0.11,6
-0.16,0.97,-0.10,0.00,0.10,6
-0.08,0.95,-0.11,0.00,0.10,6
-0.03,1.03,-0.14,0.02,0.10,6
-0.06,0.93,-0.23,0.01,0.10,6
0.06,1.02,-0.14,0.01,0.10,6
-0.03,0.96,-0.15,0.01,0.10,6
0.03,0.97,-0.14,0.00,0.10,6
-0.01,0.98,-0.13,0.00,0.09,6
-0.00,0.98,-0.11,0.00,0.09,6
-0.01,0.98,-0.12,0.00,0.09,6
-0.02,0.98,-0.16,0.00,0.09,6
-0.02,0.99,-0.14,0.00,0.09,6
-0.03,0.98,-0.11,0.00,0.09,6
-0.01,0.99,-0.10,0.00,0.09,6
-0.01,0.99,-0.08,0.00,0.09,6
-0.07,1.01,-0.02,0.01,0.08,6
-0.06,0.95,-0.02,0.00,0.08,6
-0.03,1.02,0.12,0.01,0.08,6
-0.07,0.96,0.22,0.01,0.08,6
-0.03,0.94,0.25,0.00,0.08,6
-0.02,0.86,0.33,0.00,0.08,6
-0.03,0.84,0.38,0.00,0.08,6
-0.02,0.84,0.39,0.00,0.08,6
-0.10,0.86,0.52,0.00,0.08,6
0.12,1.30,0.47,0.15,0.08,6
0.18,0.61,-0.09,0.08,0.08,7
-0.10,1.07,-0.13,0.07,0.09,7
-0.10,0.94,-0.11,0.04,0.09,7
-0.19,0.93,-0.09,0.02,0.09,7
-0.14,0.97,-0.07,0.01,0.09,7
-0.10,1.02,-0.15,0.01,0.09,7
-0.24,1.16,-0.06,0.09,0.09,7
-0.11,1.01,-0.15,0.05,0.09,7
0.06,1.23,0.09,0.14,0.09,7
-0.08,0.81,0.16,0.07,0.09,8
-0.07,0.84,0.25,0.03,0.09,8
-0.06,0.86,0.34,0.02,0.09,8
-0.10,0.87,0.41,0.01,0.09,8
0.04,1.21,0.30,0.11,0.10,8
0.27,0.68,-0.13,0.06,0.10,9
-0.28,0.97,-0.23,0.03,0.10,9
-0.10,1.01,-0.11,0.02,0.10,9
-0.17,0.99,-0.15,0.01,0.10,9
-0.17,0.96,-0.16,0.00,0.10,9
-0.14,0.95,-0.16,0.00,0.09,9
-0.32,1.09,-0.11,0.05,0.10,9
-0.10,0.96,-0.13,0.02,0.09,9
0.04,1.09,-0.05,0.06,0.10,9
-0.17,0.95,0.07,0.03,0.10,9
-0.06,0.82,0.26,0.01,0.10,9
-0.06,0.76,0.31,0.01,0.09,9
-0.26,1.07,0.55,0.04,0.09,9
0.07,1.38,0.22,0.21,0.10,9
0.31,0.68,-0.06,0.11,0.10,9
-0.27,1.04,-0.16,0.07,0.10,10
-0.15,0.93,-0.09,0.04,0.10,10
-0.14,0.94,-0.09,0.02,0.10,10
-0.20,0.93,-0.11,0.01,0.10,10
-0.17,0.97,-0.17,0.00,0.10,10
-0.20,1.07,-0.21,0.03,0.10,10
-0.22,1.14,-0.06,0.09,0.10,10
0.14,0.85,0.03,0.04,0.10,10
-0.18,0.98,0.11,0.02,0.10,10
-0.04,0.71,0.26,0.01,0.10,10
0.01,0.75,0.28,0.01,0.10,10
-0.22,1.03,0.49,0.02,0.10,10
0.09,1.18,0.34,0.10,0.10,10
0.12,0.59,-0.29,0.05,0.10,10
-0.30,1.08,-0.23,0.06,0.11,10
-0.15,0.90,-0.09,0.03,0.11,10
-0.17,0.91,-0.10,0.02,0.11,10
-0.10,1.01,-0.11,0.01,0.10,10
-0.14,1.00,-0.17,0.01,0.10,10
-0.27,1.23,-0.07,0.12,0.11,10
0.02,0.88,-0.13,0.06,0.11,11
-0.02,1.26,0.09,0.16,0.11,11
-0.06,0.79,0.13,0.08,0.11,12
-0.02,0.81,0.23,0.04,0.11,12
