X,Y,Z,A,T,S
0,97,-9,0,0,0
-1,97,-9,0,0,0
1,99,-10,0,0,0
0,96,-8,0,0,0
-2,107,-7,3,0,0
-4,99,16,9,0,0
-42,82,19,16,1,0
3,85,22,23,3,0
-14,87,30,30,5,0
-26,87,40,36,8,0
-20,90,47,43,11,0
12,160,11,51,15,0
4,69,-17,43,17,0
-11,87,-13,29,18,0
-9,95,-7,16,17,0
-13,94,-11,0,15,0
-16,96,-13,-1,13,0
-27,104,-21,1,11,0
-22,122,-16,7,10,0
25,92,0,14,10,0
-16,98,3,17,10,0
-4,94,23,23,11,0
-4,62,24,25,12,0
-15,109,40,31,13,0
-1,102,60,45,16,0
0,86,-33,37,18,0
-36,108,-25,32,19,0
-14,89,-20,18,18,0
-20,96,-21,0,16,0
-27,94,-15,0,14,0
-20,98,-22,-2,12,0
-27,121,-20,5,11,0
19,87,0,10,10,0
-32,97,0,13,10,0
7,86,8,17,10,0
-15,73,22,19,10,0
-17,93,37,25,11,0
-26,96,56,39,13,0
8,90,-33,37,15,0
-36,106,-35,32,16,0
-21,94,-15,19,16,0
-23,87,-11,3,14,0
-18,91,-17,0,12,0
-19,102,-20,-1,10,0
-33,122,-23,5,9,0
28,91,-2,13,9,0
-29,102,8,18,9,0
3,81,9,22,10,0
-11,74,18,22,11,0
-28,96,34,26,12,0
-7,102,45,35,14,0
1,111,-18,34,16,0
-20,108,-25,30,17,0
-19,93,-21,18,17,0
-16,93,-12,4,15,8
-17,100,-19,1,13,8
-19,98,-17,0,11,8
-16,111,-20,3,10,8
0,92,-18,4,9,8
5,106,0,6,8,8
5,87,-3,7,7,8
-2,94,0,6,6,8
-6,95,5,9,6,8
-2,107,-5,9,6,8
-5,93,-11,7,6,8
-11,98,-7,6,6,10
-10,99,-13,3,5,10
-8,99,-10,1,4,10
-8,98,-12,1,3,10
-3,97,-13,1,2,10
-7,97,-13,0,1,10
-5,96,-11,0,0,10
-4,99,-9,0,0,10
-3,96,-7,0,0,10
-7,98,-6,1,0,10
-9,98,0,4,0,10
-8,100,4,6,0,10
-16,97,14,12,1,10
-9,96,15,17,2,10
-12,90,23,23,4,10
-19,82,30,29,6,10
-14,85,33,34,8,10
-28,98,44,41,11,10
-19,119,32,43,14,10
-1,80,-17,33,15,10
-18,107,-14,25,16,10
-13,94,-16,11,15,12
-22,95,-10,1,13,12
-21,93,-12,0,11,12
-22,95,-20,-2,9,12
-29,108,-21,1,8,12
-24,109,-19,4,7,12
15,104,6,9,7,12
-13,87,9,14,7,12
-14,83,16,17,8,12
-5,73,19,21,9,12
-48,99,32,28,10,12
-23,84,41,36,12,12
-5,98,-24,30,13,12
-41,101,-31,24,14,12
-17,91,-13,12,13,14
-19,92,-14,-1,11,14
-15,95,-21,-1,9,14
-27,100,-22,-2,7,14
-38,122,-20,5,6,14
16,85,-3,10,6,14
-32,111,9,15,6,14
-11,80,9,19,7,14
-12,77,16,19,8,14
-11,92,30,25,9,14
-29,106,49,35,11,14
10,131,-12,39,13,14
-24,86,-19,30,14,14
-15,95,-13,20,14,14
-25,87,-16,3,12,16
-19,90,-12,-5,10,16
-26,96,-16,-3,8,16
-37,116,0,2,7,16
13,87,-21,7,7,16
-24,123,0,14,7,16
-11,74,8,18,8,16
-15,79,17,20,9,16
-14,81,25,25,10,16
-31,111,41,31,12,16
3,146,-11,39,14,16
-20,74,-17,31,15,16
-6,89,-14,21,15,16
-24,93,-12,8,14,18
-12,89,-18,-6,12,18
-24,100,-23,-3,10,18
-36,107,-4,0,9,18
2,100,-21,2,8,18
-3,121,-3,10,8,18
-9,80,3,12,8,18
-15,79,13,15,8,18
-9,76,19,21,9,18
-26,111,40,27,10,18
0,114,32,35,12,18
-21,84,-25,26,13,18
-27,97,-21,19,13,18
-19,95,-12,6,12,20
-14,97,-16,-3,10,20
-15,95,-15,-1,8,20
-18,98,-16,0,7,20
1,97,-17,0,6,20
-9,100,-15,0,5,20
2,94,-8,1,4,20
-5,97,-7,2,3,20
2,96,-7,2,2,20
-2,98,-6,2,2,20
0,99,-6,2,2,20
0,98,-8,2,2,20
-4,97,-7,2,2,20
-2,97,-10,1,1,20
-4,98,-12,1,1,20
-5,97,-12,0,0,20
-2,96,-12,0,0,20
-2,97,-12,0,0,20
-3,96,-10,0,0,20
-3,99,-11,0,0,20
-3,96,-10,0,0,20
-2,96,-9,0,0,20
-3,97,-10,0,0,20
-3,98,-7,0,0,20
-4,97,-6,1,0,20
-2,99,-7,1,0,20
-4,98,-7,2,0,20
-5,102,-3,3,0,20
-7,100,0,4,0,20
-3,95,12,9,0,20
-5,96,15,15,1,20
-10,95,18,20,2,20
-12,91,24,26,4,20
-10,90,26,29,6,20
-7,93,27,32,8,20
-21,84,34,36,10,20
-14,87,47,42,13,20
-13,163,34,50,16,20
5,49,-19,42,18,20
-7,107,-16,34,19,20
-15,91,-16,18,18,22
-23,93,-10,2,16,22
-18,94,-14,0,14,22
-24,103,-18,-1,12,22
-33,132,-22,9,11,22
0,74,-19,9,10,22
-12,118,2,15,10,22
-7,86,10,18,10,22
-14,85,16,16,10,22
-6,77,21,23,11,22
-30,108,35,29,12,22
-15,130,28,34,14,22
4,47,-29,28,15,22
-19,97,-18,21,15,22
-15,100,-13,11,14,24
-24,91,-16,0,12,24
-14,93,-16,-1,10,24
-26,98,-15,-1,8,24
-34,121,-29,3,7,24
20,89,-7,10,7,24
-25,92,5,14,7,24
-5,94,15,20,8,24
-15,72,17,21,9,24
-18,92,27,25,10,24
-27,100,38,33,12,24
14,167,-4,44,15,24
-15,54,-16,36,17,24
2,97,-13,28,18,24
-25,89,-14,15,17,26
-19,93,-14,-3,15,26
-17,97,-20,-1,13,26
-21,104,-13,0,11,26
-36,119,-19,6,10,26
20,97,-4,12,10,26
-31,92,10,17,10,26
-14,81,14,21,11,26
-7,82,16,21,12,26
-20,100,28,26,13,26
-28,94,33,31,14,26
0,190,-27,49,17,26
-34,71,-14,41,19,26
4,110,-15,35,20,26
-33,86,-16,23,20,26
-14,95,-16,0,18,28
-19,96,-17,0,16,28
-37,107,-20,0,14,28
-13,112,-21,5,13,28
0,104,-3,7,12,28
-12,89,6,11,11,28
-14,80,15,15,11,28
-7,78,21,19,11,28
-25,90,32,27,12,28
-17,95,39,35,14,28
2,204,-19,56,18,28
-20,60,-38,44,20,28
2,103,-12,35,21,28
-20,93,-19,22,21,28
-13,93,-17,-5,18,30
-21,98,-15,0,16,30
-11,88,-29,-4,14,30
2,93,-24,-2,12,30
-10,95,-18,-2,10,30
0,102,-11,-1,8,30
0,88,-12,1,7,30
-3,106,-4,3,6,30
-2,97,-6,4,5,30
-5,96,-6,3,4,30
-1,95,-7,4,4,30
-2,98,-10,2,3,30
-4,97,-12,1,2,30
-6,96,-11,0,1,30
-5,95,-13,0,0,30
-15,95,-17,-1,0,30
-11,96,-7,0,0,30
-14,101,-4,0,0,30
-7,105,-3,3,0,30
-8,90,4,7,0,30
-11,106,25,15,1,30
-14,87,21,21,3,30
-6,89,15,25,5,30
-13,81,24,30,7,30
-28,106,36,33,9,30
-20,112,30,35,11,30
-2,64,-26,28,12,30
-26,115,-27,25,13,30
-14,88,-17,11,12,32
-27,94,-12,1,10,32
-14,93,-17,0,9,32
-15,99,-17,-3,7,32
-24,101,-14,0,6,32
-34,119,-20,6,6,32
11,84,-3,9,6,32
-12,98,0,11,6,32
-19,83,12,15,6,32
